Fp1 Fpz Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 M1 T7 C3 Cz C4 T8 M2 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 POz O1 Oz O2 HEOG VEOG MKR+
-1478.125 35.449 3078.027 -345.996 1329.297 1678.320 2720.410 2867.285 -144.922 -728.711 -57.520 -1577.148 0.000 2065.527 -2969.922 -577.051 -2803.516 1697.754 0.000 -529.883 1930.078 -2812.305 1520.703 2564.844 -2892.480 2710.742 946.875 -683.203 -1387.891 1158.105 -1882.520 968.359 0.000 0.000 -50.000
-1486.426 25.293 3070.996 -345.703 1322.656 1666.992 2717.188 2867.090 -144.922 -736.719 -65.820 -1575.488 0.000 2073.242 -2975.293 -584.082 -2806.738 1706.250 0.000 -527.246 1924.512 -2818.359 1525.195 2565.039 -2890.430 2710.156 954.102 -681.445 -1381.543 1177.539 -1866.016 980.566 0.000 0.000 -50.000
-1495.996 13.770 3065.527 -350.684 1316.504 1655.762 2709.277 2866.211 -148.340 -747.656 -73.633 -1578.125 0.000 2075.098 -2979.883 -590.723 -2815.039 1711.328 0.000 -528.809 1916.406 -2826.953 1525.098 2570.703 -2892.871 2705.664 954.688 -622.559 -1381.348 1192.871 -1847.949 1001.758 0.000 0.000 -50.000
-1502.051 8.496 3058.984 -356.934 1309.082 1646.680 2703.613 2861.719 -154.297 -753.809 -81.055 -1584.082 0.000 2071.387 -2987.012 -597.754 -2819.824 1713.965 0.000 -533.496 1911.230 -2831.641 1521.582 2583.301 -2897.949 2699.609 950.195 -546.875 -1387.012 1197.754 -1821.875 1017.871 0.000 0.000 -50.000
-1507.031 7.129 3055.859 -360.059 1306.445 1646.484 2700.977 2857.031 -158.203 -758.105 -84.961 -1588.086 0.000 2063.184 -2989.844 -597.559 -2821.484 1718.555 0.000 -535.645 1909.473 -2832.031 1517.578 2588.379 -2903.125 2696.777 944.238 -504.883 -1390.137 1195.215 -1807.715 1031.641 0.000 0.000 -50.000
-1502.051 10.352 3058.301 -362.695 1309.277 1653.027 2700.781 2853.418 -160.742 -751.855 -84.375 -1591.797 0.000 2055.078 -2991.797 -595.605 -2821.289 1722.656 0.000 -540.723 1913.184 -2830.273 1512.305 2596.973 -2905.469 2694.531 938.672 -500.293 -1398.926 1183.301 -1798.438 1034.668 0.000 0.000 -50.000
-1492.188 21.973 3064.063 -360.938 1315.625 1665.137 2704.980 2853.418 -159.863 -741.895 -77.148 -1593.945 0.000 2047.949 -2989.941 -590.039 -2821.191 1723.730 0.000 -549.023 1913.379 -2829.297 1501.660 2602.441 -2909.277 2692.676 929.785 -506.543 -1407.324 1160.645 -1802.441 1033.789 0.000 0.000 -50.000
-1483.203 33.203 3070.996 -357.910 1323.340 1676.660 2710.254 2855.469 -156.641 -731.348 -69.531 -1591.699 0.000 2044.238 -2985.547 -580.664 -2821.582 1729.785 0.000 -554.102 1913.867 -2828.027 1494.629 2571.289 -2912.891 2691.797 921.875 -486.719 -1414.063 1136.719 -1821.289 1021.484 0.000 0.000 -50.000
-1479.004 36.719 3073.535 -356.738 1328.320 1683.887 2712.402 2856.934 -154.297 -726.758 -68.457 -1591.113 0.000 2043.750 -2982.031 -576.074 -2820.801 1741.211 0.000 -553.516 1915.527 -2826.758 1492.871 2538.379 -2913.965 2692.480 919.922 -455.273 -1415.137 1120.020 -1844.043 1008.496 0.000 0.000 -50.000
-1484.277 33.203 3070.898 -359.180 1323.730 1678.320 2708.887 2854.688 -155.762 -732.422 -73.438 -1592.285 0.000 2042.188 -2985.645 -579.785 -2820.410 1753.711 0.000 -552.539 1915.625 -2827.637 1497.461 2539.551 -2913.672 2692.090 922.559 -413.184 -1412.891 1118.066 -1852.441 1004.785 0.000 0.000 -50.000
-1492.676 23.145 3064.551 -361.133 1316.699 1666.113 2703.613 2852.637 -159.180 -741.016 -80.762 -1592.969 0.000 2045.313 -2989.844 -588.086 -2820.215 1765.723 0.000 -549.023 1913.574 -2830.176 1500.684 2568.652 -2910.938 2691.602 927.148 -402.051 -1408.691 1126.367 -1851.563 1012.891 0.000 0.000 -50.000
-1501.465 12.793 3059.473 -362.500 1309.570 1653.906 2698.730 2854.590 -159.766 -750.781 -88.574 -1593.848 0.000 2050.977 -2992.676 -596.777 -2822.363 1781.152 0.000 -543.066 1911.230 -2833.203 1508.203 2587.793 -2905.664 2692.188 936.328 -428.223 -1401.758 1143.457 -1845.801 1026.855 0.000 0.000 -50.000
-1510.059 3.809 3054.004 -363.281 1303.516 1643.359 2692.480 2853.418 -163.477 -758.301 -95.801 -1593.750 0.000 2056.055 -2995.801 -605.176 -2827.539 1792.188 0.000 -542.773 1905.664 -2837.500 1509.863 2580.078 -2905.371 2690.723 941.016 -416.016 -1397.559 1162.305 -1822.070 1046.094 0.000 0.000 -50.000
-1515.430 -2.051 3051.074 -366.406 1299.219 1637.109 2690.527 2852.441 -164.258 -764.355 -100.879 -1596.582 0.000 2055.566 -2999.512 -608.301 -2832.520 1801.953 0.000 -544.434 1899.609 -2843.066 1508.691 2559.277 -2908.789 2686.133 938.867 -371.875 -1398.438 1169.434 -1801.367 1068.750 0.000 0.000 -50.000
-1518.457 -3.711 3047.754 -370.508 1295.703 1633.691 2685.938 2847.656 -169.141 -767.383 -104.199 -1600.391 0.000 2049.902 -3003.418 -613.184 -2835.254 1812.109 0.000 -548.438 1896.973 -2844.727 1504.883 2566.113 -2913.965 2682.129 932.715 -312.402 -1404.980 1165.918 -1790.332 1079.688 0.000 0.000 -50.000
-1516.797 -2.344 3045.703 -373.535 1295.898 1635.645 2684.570 2842.871 -172.852 -766.113 -105.762 -1607.813 0.000 2040.332 -3006.934 -612.598 -2836.230 1824.707 0.000 -553.711 1898.828 -2843.262 1498.145 2587.891 -2918.945 2679.980 923.828 -284.668 -1411.523 1150.879 -1782.715 1086.621 0.000 0.000 -50.000
-1510.547 5.469 3050.195 -375.879 1300.977 1645.117 2686.914 2841.992 -173.438 -758.887 -102.637 -1609.180 0.000 2032.031 -3006.934 -606.348 -2835.938 1832.813 0.000 -559.961 1900.391 -2842.578 1489.453 2613.379 -2923.340 2678.320 916.016 -314.258 -1419.922 1132.422 -1777.930 1092.578 0.000 0.000 -50.000
-1500.195 18.066 3058.887 -370.703 1309.863 1659.961 2693.262 2845.215 -169.531 -745.898 -93.555 -1606.250 0.000 2028.906 -3001.563 -597.656 -2833.984 1840.234 0.000 -563.379 1904.395 -2838.867 1484.473 2613.184 -2924.219 2679.395 911.035 -370.410 -1424.902 1108.594 -1790.527 1076.660 0.000 0.000 -50.000
-1491.016 27.734 3065.820 -364.453 1318.652 1671.875 2701.074 2849.219 -163.867 -736.816 -86.523 -1603.027 0.000 2029.883 -2995.410 -588.867 -2832.813 1849.805 0.000 -564.551 1906.152 -2835.254 1483.301 2590.039 -2923.535 2681.250 909.473 -420.313 -1425.488 1091.504 -1807.129 1063.574 0.000 0.000 -50.000
-1490.430 27.832 3067.773 -363.379 1318.848 1671.289 2700.488 2851.855 -162.598 -735.645 -85.547 -1600.293 0.000 2032.129 -2993.750 -589.160 -2830.176 1856.934 0.000 -562.988 1907.324 -2833.691 1485.449 2570.508 -2923.633 2681.445 912.207 -422.266 -1423.047 1087.207 -1816.211 1061.719 0.000 0.000 -50.000
-1496.973 19.824 3061.621 -366.211 1313.574 1662.500 2696.777 2850.293 -163.379 -744.238 -91.406 -1602.539 0.000 2035.254 -2997.266 -595.508 -2829.980 1864.160 0.000 -556.934 1908.301 -2832.715 1491.309 2588.965 -2921.094 2682.910 917.969 -416.211 -1418.945 1092.383 -1816.797 1064.453 0.000 0.000 -50.000
-1510.059 6.543 3053.516 -371.094 1303.027 1647.070 2689.453 2847.070 -168.262 -756.348 -101.563 -1604.980 0.000 2037.598 -3003.418 -606.055 -2831.152 1867.285 0.000 -551.660 1904.492 -2835.742 1496.973 2658.984 -2916.992 2681.738 923.047 -416.797 -1412.793 1108.398 -1811.621 1073.340 0.000 0.000 -50.000
-1519.629 -4.688 3046.777 -372.559 1295.410 1633.594 2683.691 2845.898 -171.191 -767.480 -110.547 -1605.762 0.000 2040.234 -3007.715 -616.309 -2836.133 1863.184 0.000 -551.367 1898.242 -2840.527 1500.391 2713.086 -2915.234 2681.250 929.980 -448.828 -1405.664 1131.445 -1787.793 1098.242 0.000 0.000 -50.000
-1525.879 -11.133 3043.066 -374.512 1289.355 1625.391 2679.395 2844.043 -173.047 -772.852 -115.527 -1606.543 0.000 2042.480 -3010.449 -622.363 -2843.066 1852.148 0.000 -553.320 1893.262 -2848.047 1497.656 2775.391 -2918.164 2677.246 928.809 -447.266 -1408.691 1140.430 -1765.332 1107.520 0.000 0.000 -50.000
-1530.078 -15.332 3037.891 -380.273 1285.547 1620.898 2673.340 2839.160 -176.074 -777.637 -120.703 -1611.426 0.000 2036.426 -3015.723 -626.367 -2846.484 1834.082 0.000 -558.691 1889.453 -2850.781 1493.457 2857.031 -2923.242 2671.680 921.484 -409.082 -1415.039 1135.645 -1752.539 1113.770 0.000 0.000 -50.000
-1528.711 -13.867 3037.012 -382.617 1287.109 1623.730 2672.266 2834.180 -181.836 -777.441 -122.461 -1616.797 0.000 2028.711 -3018.262 -626.758 -2847.559 1814.160 0.000 -562.598 1889.063 -2850.195 1487.988 2920.215 -2927.832 2667.773 915.234 -391.602 -1421.484 1126.563 -1744.336 1110.645 0.000 0.000 -50.000
-1521.973 -7.129 3039.941 -384.082 1291.992 1634.082 2674.121 2834.473 -181.543 -770.898 -117.188 -1619.434 0.000 2021.289 -3017.578 -622.461 -2848.242 1792.285 0.000 -567.285 1891.797 -2847.070 1481.934 2971.582 -2931.836 2666.309 907.324 -411.914 -1428.809 1110.840 -1740.527 1100.098 0.000 0.000 -50.000
-1508.789 6.250 3050.586 -376.563 1302.930 1650.586 2681.836 2838.867 -177.637 -755.859 -106.055 -1615.625 0.000 2019.141 -3011.426 -611.133 -2843.066 1775.879 0.000 -570.117 1897.363 -2841.602 1477.148 2969.922 -2933.008 2670.117 902.539 -475.781 -1430.859 1088.086 -1750.098 1076.465 0.000 0.000 -50.000
-1497.852 19.141 3061.719 -369.531 1313.086 1663.770 2691.113 2844.531 -170.605 -743.945 -95.215 -1610.352 0.000 2022.461 -3003.809 -600.781 -2838.770 1768.945 0.000 -570.313 1901.465 -2837.598 1476.855 2934.277 -2931.055 2674.121 901.758 -536.133 -1430.957 1069.531 -1759.863 1053.906 0.000 0.000 -50.000
