Fp1 - M1Ref	Fpz - M1Ref	Fp2 - M1Ref	F7 - M1Ref	F3 - M1Ref	Fz - M1Ref	F4 - M1Ref	F8 - M1Ref	FC5 - M1Ref	FC1 - M1Ref	FC2 - M1Ref	FC6 - M1Ref	M1 - M1Ref	T7 - M1Ref	C3 - M1Ref	Cz - M1Ref	C4 - M1Ref	T8 - M1Ref	M2 - M1Ref	CP5 - M1Ref	CP1 - M1Ref	CP2 - M1Ref	CP6 - M1Ref	P7 - M1Ref	P3 - M1Ref	Pz - M1Ref	P4 - M1Ref	P8 - M1Ref	POz - M1Ref	O1 - M1Ref	Oz - M1Ref	O2 - M1Ref	HEOG - M1Ref	VEOG - M1Ref	
-1.489590E+003	2.074392E+001	-3.331974E+003	-6.744661E+003	-1.148027E+004	1.657932E+003	9.121845E+003	-9.929221E+003	-1.420444E+002	5.657316E+003	-6.026403E+001	-1.571003E+003	0.000000E+000	-4.317071E+003	-2.971548E+003	-6.987410E+003	9.996510E+003	1.680956E+003	0.000000E+000	-6.920139E+003	1.926573E+003	3.581140E+003	7.935580E+003	2.537508E+003	3.514586E+003	2.714640E+003	7.364404E+003	-7.079783E+002	-1.371673E+003	-5.208839E+003	4.512005E+003	1.012204E+003	0.000000E+000	0.000000E+000	
-1.491558E+003	1.826127E+001	-3.334420E+003	-6.749204E+003	-1.148259E+004	1.659238E+003	9.117137E+003	-9.935345E+003	-1.468993E+002	5.656783E+003	-6.122031E+001	-1.575545E+003	0.000000E+000	-4.326119E+003	-2.975833E+003	-6.989708E+003	9.995406E+003	1.680552E+003	0.000000E+000	-6.924277E+003	1.924716E+003	3.580165E+003	7.930614E+003	2.565350E+003	3.510817E+003	2.711992E+003	7.358741E+003	-6.684949E+002	-1.377319E+003	-5.210752E+003	4.524106E+003	1.015698E+003	0.000000E+000	0.000000E+000	
-1.484956E+003	2.478972E+001	-3.331845E+003	-6.749314E+003	-1.147924E+004	1.666557E+003	9.117450E+003	-9.936301E+003	-1.481315E+002	5.662557E+003	-5.962038E+001	-1.578506E+003	0.000000E+000	-4.332850E+003	-2.976091E+003	-6.984909E+003	9.992795E+003	1.674226E+003	0.000000E+000	-6.930934E+003	1.924311E+003	3.580037E+003	7.921879E+003	2.591648E+003	3.505226E+003	2.708718E+003	7.350594E+003	-6.711063E+002	-1.385687E+003	-5.222944E+003	4.534643E+003	1.017316E+003	0.000000E+000	0.000000E+000	
-1.475025E+003	3.898680E+001	-3.322853E+003	-6.747457E+003	-1.146913E+004	1.681858E+003	9.122139E+003	-9.932733E+003	-1.452994E+002	5.673334E+003	-5.294481E+001	-1.577972E+003	0.000000E+000	-4.336638E+003	-2.971493E+003	-6.973709E+003	9.992869E+003	1.672203E+003	0.000000E+000	-6.937297E+003	1.926224E+003	3.581581E+003	7.912923E+003	2.585303E+003	3.502560E+003	2.708240E+003	7.343458E+003	-7.040244E+002	-1.392509E+003	-5.240654E+003	4.533172E+003	1.005326E+003	0.000000E+000	0.000000E+000	
-1.465058E+003	4.900935E+001	-3.316122E+003	-6.742197E+003	-1.146098E+004	1.693940E+003	9.128226E+003	-9.931060E+003	-1.408306E+002	5.683062E+003	-4.579110E+001	-1.575710E+003	0.000000E+000	-4.338183E+003	-2.967024E+003	-6.967291E+003	9.995646E+003	1.672276E+003	0.000000E+000	-6.940552E+003	1.929865E+003	3.584763E+003	7.909650E+003	2.563198E+003	3.500279E+003	2.708590E+003	7.338401E+003	-7.174675E+002	-1.397897E+003	-5.257517E+003	4.523444E+003	9.835708E+002	0.000000E+000	0.000000E+000	
-1.464065E+003	5.105064E+001	-3.313455E+003	-6.741020E+003	-1.145877E+004	1.697140E+003	9.129826E+003	-9.930251E+003	-1.396721E+002	5.684644E+003	-4.538652E+001	-1.574975E+003	0.000000E+000	-4.338257E+003	-2.966473E+003	-6.964919E+003	9.996767E+003	1.677849E+003	0.000000E+000	-6.938749E+003	1.931520E+003	3.587135E+003	7.911673E+003	2.532432E+003	3.501162E+003	2.708847E+003	7.336893E+003	-6.875286E+002	-1.397493E+003	-5.263623E+003	4.507573E+003	9.706610E+002	0.000000E+000	0.000000E+000	
-1.468570E+003	4.529457E+001	-3.316526E+003	-6.744293E+003	-1.146480E+004	1.689802E+003	9.125615E+003	-9.931667E+003	-1.430742E+002	5.681260E+003	-5.204370E+001	-1.576189E+003	0.000000E+000	-4.337778E+003	-2.968771E+003	-6.969112E+003	9.998956E+003	1.686565E+003	0.000000E+000	-6.935108E+003	1.933175E+003	3.589121E+003	7.914431E+003	2.539880E+003	3.502449E+003	2.710337E+003	7.340865E+003	-6.649088E+002	-1.395360E+003	-5.258437E+003	4.507941E+003	9.613741E+002	0.000000E+000	0.000000E+000	
-1.478096E+003	3.540075E+001	-3.321970E+003	-6.746041E+003	-1.147069E+004	1.678290E+003	9.120392E+003	-9.932752E+003	-1.449132E+002	5.671255E+003	-5.752392E+001	-1.577163E+003	0.000000E+000	-4.334450E+003	-2.969930E+003	-6.977019E+003	9.996491E+003	1.697802E+003	0.000000E+000	-6.929886E+003	1.930031E+003	3.587705E+003	7.920666E+003	2.564872E+003	3.507488E+003	2.710760E+003	7.346897E+003	-6.831702E+002	-1.387893E+003	-5.241904E+003	4.517504E+003	9.683255E+002	0.000000E+000	0.000000E+000	
-1.486464E+003	2.532303E+001	-3.329031E+003	-6.745728E+003	-1.147738E+004	1.666962E+003	9.117229E+003	-9.932918E+003	-1.449132E+002	5.663292E+003	-6.579942E+001	-1.575508E+003	0.000000E+000	-4.326781E+003	-2.975300E+003	-6.984099E+003	9.993310E+003	1.706224E+003	0.000000E+000	-6.927274E+003	1.924495E+003	3.581673E+003	7.925244E+003	2.565074E+003	3.509529E+003	2.710134E+003	7.354070E+003	-6.814231E+002	-1.381530E+003	-5.222448E+003	4.534018E+003	9.805548E+002	0.000000E+000	0.000000E+000	
-1.496027E+003	1.381089E+001	-3.334475E+003	-6.750694E+003	-1.148353E+004	1.655780E+003	9.109303E+003	-9.933782E+003	-1.483705E+002	5.652387E+003	-7.365195E+001	-1.578138E+003	0.000000E+000	-4.324924E+003	-2.979842E+003	-6.990738E+003	9.984979E+003	1.711337E+003	0.000000E+000	-6.928801E+003	1.916422E+003	3.573012E+003	7.925061E+003	2.570701E+003	3.507102E+003	2.705647E+003	7.354713E+003	-6.225751E+002	-1.381365E+003	-5.207166E+003	4.552058E+003	1.001795E+003	0.000000E+000	0.000000E+000	
-1.502040E+003	8.459400E+000	-3.340985E+003	-6.756928E+003	-1.149092E+004	1.646659E+003	9.103639E+003	-9.938250E+003	-1.542553E+002	5.646172E+003	-8.102634E+001	-1.584078E+003	0.000000E+000	-4.328565E+003	-2.987014E+003	-6.997726E+003	9.980217E+003	1.713948E+003	0.000000E+000	-6.933490E+003	1.911273E+003	3.568396E+003	7.921566E+003	2.583335E+003	3.502045E+003	2.699652E+003	7.350207E+003	-5.468267E+002	-1.387029E+003	-5.202218E+003	4.578135E+003	1.017887E+003	0.000000E+000	0.000000E+000	
-1.507005E+003	7.098540E+000	-3.344130E+003	-6.760054E+003	-1.149353E+004	1.646530E+003	9.100973E+003	-9.943014E+003	-1.582460E+002	5.641886E+003	-8.492502E+001	-1.588124E+003	0.000000E+000	-4.336785E+003	-2.989828E+003	-6.997597E+003	9.978543E+003	1.718601E+003	0.000000E+000	-6.935660E+003	1.909489E+003	3.567973E+003	7.917576E+003	2.588338E+003	3.496840E+003	2.696783E+003	7.344249E+003	-5.049158E+002	-1.390155E+003	-5.204756E+003	4.592314E+003	1.031606E+003	0.000000E+000	0.000000E+000	
-1.502058E+003	1.037196E+001	-3.341721E+003	-6.762739E+003	-1.149075E+004	1.652985E+003	9.100826E+003	-9.946600E+003	-1.607470E+002	5.648121E+003	-8.433654E+001	-1.591765E+003	0.000000E+000	-4.344932E+003	-2.991814E+003	-6.995575E+003	9.978709E+003	1.722683E+003	0.000000E+000	-6.940699E+003	1.913222E+003	3.569775E+003	7.912298E+003	2.597017E+003	3.494523E+003	2.694521E+003	7.338714E+003	-5.003000E+002	-1.398927E+003	-5.216728E+003	4.601583E+003	1.034640E+003	0.000000E+000	0.000000E+000	
