Fp1 Fpz Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 M1 T7 C3 Cz C4 T8 M2 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 POz O1 Oz O2 HEOG VEOG
-1478.096 35.401 -3321.970 -6746.041 -11470.689 1678.290 9120.392 -9932.752 -144.913 5671.255 -57.524 -1577.163 0.000 -4334.450 -2969.930 -6977.019 9996.491 1697.802 0.000 -6929.886 1930.031 3587.705 7920.666 2564.872 3507.488 2710.760 7346.897 -683.170 -1387.893 -5241.904 4517.503 968.326 0.000 0.000
-1486.464 25.323 -3329.031 -6745.728 -11477.383 1666.962 9117.229 -9932.918 -144.913 5663.292 -65.799 -1575.508 0.000 -4326.781 -2975.300 -6984.099 9993.311 1706.224 0.000 -6927.274 1924.495 3581.673 7925.244 2565.074 3509.529 2710.135 7354.069 -681.423 -1381.530 -5222.448 4534.018 980.555 0.000 0.000
-1496.026 13.811 -3334.475 -6750.693 -11483.525 1655.781 9109.304 -9933.782 -148.371 5652.387 -73.652 -1578.138 0.000 -4324.924 -2979.842 -6990.738 9984.979 1711.337 0.000 -6928.801 1916.422 3573.012 7925.061 2570.701 3507.102 2705.647 7354.713 -622.575 -1381.365 -5207.166 4552.059 1001.795 0.000 0.000
-1502.040 8.459 -3340.985 -6756.928 -11490.919 1646.659 9103.639 -9938.250 -154.255 5646.171 -81.026 -1584.078 0.000 -4328.565 -2987.014 -6997.727 9980.217 1713.948 0.000 -6933.490 1911.273 3568.396 7921.566 2583.335 3502.045 2699.652 7350.208 -546.827 -1387.029 -5202.218 4578.135 1017.887 0.000 0.000
-1507.005 7.099 -3344.130 -6760.054 -11493.530 1646.530 9100.973 -9943.014 -158.246 5641.887 -84.925 -1588.124 0.000 -4336.785 -2989.828 -6997.597 9978.543 1718.601 0.000 -6935.660 1909.489 3567.973 7917.576 2588.337 3496.840 2696.783 7344.249 -504.916 -1390.155 -5204.756 4592.314 1031.605 0.000 0.000
-1502.058 10.372 -3341.721 -6762.739 -11490.753 1652.985 9100.825 -9946.600 -160.747 5648.121 -84.337 -1591.765 0.000 -4344.932 -2991.814 -6995.575 9978.709 1722.683 0.000 -6940.699 1913.222 3569.775 7912.298 2597.017 3494.523 2694.521 7338.714 -500.300 -1398.927 -5216.729 4601.583 1034.640 0.000 0.000
-1492.183 21.958 -3335.909 -6760.955 -11484.390 1665.123 9105.000 -9946.545 -159.827 5658.088 -77.164 -1593.953 0.000 -4352.012 -2989.920 -6990.002 9978.782 1723.750 0.000 -6948.993 1913.369 3570.731 7901.650 2602.461 3490.698 2692.646 7329.776 -506.571 -1407.295 -5239.311 4597.537 1033.812 0.000 0.000
-1483.227 33.212 -3329.031 -6757.902 -11476.703 1676.653 9110.259 -9944.503 -156.609 5668.645 -69.496 -1591.691 0.000 -4355.782 -2985.580 -6980.679 9978.451 1729.800 0.000 -6954.142 1913.829 3572.019 7894.625 2571.308 3487.112 2691.763 7321.887 -486.710 -1414.081 -5263.310 4578.687 1021.528 0.000 0.000
-1478.961 36.725 -3326.420 -6756.781 -11471.701 1683.917 9112.447 -9943.031 -154.255 5673.279 -68.466 -1591.121 0.000 -4356.297 -2982.067 -6976.118 9979.205 1741.220 0.000 -6953.553 1915.502 3573.214 7892.859 2538.372 3486.045 2692.498 7319.882 -455.318 -1415.147 -5279.953 4555.939 1008.508 0.000 0.000
-1484.275 33.249 -3329.123 -6759.189 -11476.280 1678.363 9108.917 -9945.313 -155.727 5667.578 -73.394 -1592.243 0.000 -4357.787 -2985.672 -6979.759 9979.555 1753.689 0.000 -6952.561 1915.613 3572.331 7897.494 2539.567 3486.376 2692.075 7322.530 -413.187 -1412.849 -5281.902 4547.553 1004.830 0.000 0.000
-1492.661 23.171 -3335.450 -6761.176 -11483.286 1666.116 9103.639 -9947.391 -159.202 5658.953 -80.732 -1592.997 0.000 -4354.715 -2989.865 -6988.053 9979.739 1765.753 0.000 -6949.011 1913.590 3569.793 7900.712 2568.678 3489.024 2691.579 7327.146 -402.079 -1408.693 -5273.646 4548.436 1012.903 0.000 0.000
-1501.452 12.744 -3340.562 -6762.500 -11490.385 1653.923 9098.766 -9945.423 -159.772 5649.188 -88.585 -1593.843 0.000 -4349.070 -2992.715 -6996.807 9977.660 1781.163 0.000 -6943.035 1911.218 3566.777 7908.197 2587.767 3494.302 2692.167 7336.286 -428.174 -1401.796 -5256.524 4554.173 1026.824 0.000 0.000
-1510.040 3.788 -3346.024 -6763.235 -11496.509 1643.367 9092.513 -9946.600 -163.432 5641.685 -95.775 -1593.751 0.000 -4343.994 -2995.823 -7005.137 9972.438 1792.216 0.000 -6942.740 1905.682 3562.474 7909.815 2580.080 3494.670 2690.770 7341.031 -416.055 -1397.511 -5237.730 4577.896 1046.097 0.000 0.000
-1515.410 -2.078 -3348.893 -6766.362 -11500.757 1637.151 9090.509 -9947.519 -164.296 5635.671 -100.924 -1596.583 0.000 -4344.417 -2999.538 -7008.301 9967.454 1801.944 0.000 -6944.414 1899.632 3556.920 7908.712 2559.300 3491.213 2686.117 7338.861 -371.919 -1398.412 -5230.594 4598.622 1068.753 0.000 0.000
-1518.444 -3.733 -3352.240 -6770.555 -11504.343 1633.657 9085.910 -9952.374 -169.133 5632.637 -104.198 -1600.390 0.000 -4350.063 -3003.455 -7013.229 9964.769 1812.096 0.000 -6948.478 1897.021 3555.229 7904.869 2566.085 3486.045 2682.163 7332.682 -312.409 -1404.996 -5234.051 4609.619 1079.677 0.000 0.000
-1516.752 -2.354 -3354.262 -6773.552 -11504.067 1635.680 9084.550 -9957.119 -172.884 5633.924 -105.743 -1607.764 0.000 -4359.699 -3006.894 -7012.641 9963.758 1824.693 0.000 -6953.719 1898.859 3556.737 7898.101 2587.915 3481.025 2680.011 7323.854 -284.714 -1411.488 -5249.168 4617.251 1086.610 0.000 0.000
-1510.518 5.517 -3349.757 -6775.888 -11499.065 1645.133 9086.959 -9958.020 -173.454 5641.133 -102.653 -1609.199 0.000 -4367.993 -3006.931 -7006.352 9964.089 1832.839 0.000 -6959.972 1900.349 3557.380 7889.457 2613.385 3476.685 2678.356 7315.983 -314.212 -1419.892 -5267.577 4622.088 1092.550 0.000 0.000
-1500.183 18.022 -3341.114 -6770.738 -11490.164 1659.918 9093.267 -9954.765 -169.501 5654.134 -93.568 -1606.275 0.000 -4371.045 -3001.579 -6997.616 9966.001 1840.232 0.000 -6963.374 1904.377 3561.095 7884.492 2613.219 3475.820 2679.350 7311.018 -370.411 -1424.857 -5291.447 4609.436 1076.679 0.000 0.000
-1490.969 27.751 -3334.199 -6764.449 -11481.355 1671.872 9101.046 -9950.737 -163.837 5663.146 -86.562 -1602.983 0.000 -4370.071 -2995.363 -6988.881 9967.141 1849.777 0.000 -6964.587 1906.197 3564.754 7883.260 2590.084 3476.446 2681.262 7309.455 -420.285 -1425.501 -5308.495 4592.902 1063.586 0.000 0.000
-1490.399 27.879 -3332.250 -6763.419 -11481.190 1671.302 9100.531 -9948.126 -162.641 5664.396 -85.514 -1600.335 0.000 -4367.919 -2993.782 -6989.193 9969.845 1856.894 0.000 -6963.006 1907.319 3566.336 7885.412 2570.462 3476.409 2681.428 7312.195 -422.253 -1423.018 -5312.779 4583.744 1061.673 0.000 0.000
-1497.001 19.788 -3338.410 -6766.214 -11486.468 1662.493 9096.798 -9949.688 -163.414 5655.771 -91.435 -1602.523 0.000 -4364.720 -2997.313 -6995.520 9970.011 1864.158 0.000 -6956.938 1908.275 3567.311 7891.315 2589.000 3478.873 2682.936 7318.006 -416.166 -1418.899 -5307.611 4583.211 1064.468 0.000 0.000
-1510.040 6.510 -3346.502 -6771.051 -11496.933 1647.119 9089.497 -9952.889 -168.232 5643.634 -101.605 -1605.006 0.000 -4362.384 -3003.381 -7006.075 9968.833 1867.321 0.000 -6951.678 1904.450 3564.240 7896.997 2659.010 3483.048 2681.722 7323.008 -416.809 -1412.812 -5291.594 4588.397 1073.369 0.000 0.000
-1519.584 -4.671 -3353.196 -6772.577 -11504.545 1633.639 9083.667 -9954.121 -171.229 5632.526 -110.579 -1605.741 0.000 -4359.772 -3007.721 -7016.337 9963.886 1863.146 0.000 -6951.328 1898.289 3559.495 7900.344 2713.095 3484.776 2681.281 7329.960 -448.845 -1405.640 -5268.533 4612.212 1098.214 0.000 0.000
