trial,trigger,latency,scene_category,old,behavior,subsequent_memory
903,1041,2011033,manmade,new,correctreject,subsequent_remembered
904,2111,2013132.5,natural,old,hit,subsequent_remembered
905,1049,2014836.5,manmade,new,correctreject,na
906,2111,2016323.5,natural,old,hit,subsequent_remembered
907,2041,2017995.5,natural,new,correctreject,subsequent_remembered
908,1111,2019516,manmade,old,hit,subsequent_remembered
909,1119,2020985,manmade,old,hit,na
910,2111,2022367.5,natural,old,hit,subsequent_remembered
911,1039,2023826.5,manmade,new,falsealarm,na
912,1031,2025152.5,manmade,new,falsealarm,subsequent_remembered
913,2049,2027005.5,natural,new,correctreject,na
914,2111,2029765,natural,old,hit,subsequent_remembered
915,2119,2031075.5,natural,old,hit,na
916,1111,2032320,manmade,old,hit,subsequent_remembered
917,2111,2034552,natural,old,hit,subsequent_remembered
918,1129,2035965,manmade,old,miss,na
919,1119,2038294,manmade,old,hit,na
920,2119,2040301,natural,old,hit,na
921,2041,2041698.5,natural,new,correctreject,subsequent_remembered
922,2119,2044168,natural,old,hit,na
923,1049,2045466.5,manmade,new,correctreject,na
924,2119,2047908.5,natural,old,hit,na
925,2041,2049588,natural,new,correctreject,subsequent_remembered
926,2119,2050760,natural,old,hit,na
927,2119,2052424,natural,old,hit,na
928,2119,2054310,natural,old,hit,na
929,1049,2055634,manmade,new,correctreject,na
930,1040,2057960.5,manmade,new,correctreject,subsequent_forgotten
931,2049,2059816.5,natural,new,correctreject,na
932,1041,2062363.5,manmade,new,correctreject,subsequent_remembered
933,1049,2064209,manmade,new,correctreject,na
934,2119,2065770.5,natural,old,hit,na
935,2119,2067260.5,natural,old,hit,na
936,2041,2069323.5,natural,new,correctreject,subsequent_remembered
937,2111,2071985.5,natural,old,hit,subsequent_remembered
938,2049,2073921,natural,new,correctreject,na
939,1120,2075882,manmade,old,miss,subsequent_forgotten
940,2031,2077832,natural,new,falsealarm,subsequent_remembered
941,1111,2079552.5,manmade,old,hit,subsequent_remembered
942,1049,2081933,manmade,new,correctreject,na
943,1119,2083525,manmade,old,hit,na
944,1041,2084994.5,manmade,new,correctreject,subsequent_remembered
945,2111,2087310,natural,old,hit,subsequent_remembered
946,1119,2089110.5,manmade,old,hit,na
947,2039,2090725.5,natural,new,falsealarm,na
948,1041,2093185.5,manmade,new,correctreject,subsequent_remembered
949,1049,2094829,manmade,new,correctreject,na
950,1111,2096595,manmade,old,hit,subsequent_remembered
951,1119,2098494.5,manmade,old,hit,na
952,2041,2100133,natural,new,correctreject,subsequent_remembered
953,1049,2102093.5,manmade,new,correctreject,na
954,1041,2103773,manmade,new,correctreject,subsequent_remembered
955,1111,2105498,manmade,old,hit,subsequent_remembered
956,1111,2107064.5,manmade,old,hit,subsequent_remembered
957,1049,2108523.5,manmade,new,correctreject,na
958,1111,2110438.5,manmade,old,hit,subsequent_remembered
959,1041,2111769.5,manmade,new,correctreject,subsequent_remembered
960,2111,2113029,natural,old,hit,subsequent_remembered
961,2039,2114769.5,natural,new,falsealarm,na
962,1031,2116541,manmade,new,falsealarm,subsequent_remembered
963,1049,2118805.5,manmade,new,correctreject,na
964,1041,2120462.5,manmade,new,correctreject,subsequent_remembered
965,2049,2122364,natural,new,correctreject,na
966,2031,2123974.5,natural,new,falsealarm,subsequent_remembered
967,1049,2125625,manmade,new,correctreject,na
968,1121,2127276.5,manmade,old,miss,subsequent_remembered
969,2119,2128776.5,natural,old,hit,na
970,2041,2130000,natural,new,correctreject,subsequent_remembered
971,2049,2131341.5,natural,new,correctreject,na
972,2041,2132918,natural,new,correctreject,subsequent_remembered
973,1049,2135160.5,manmade,new,correctreject,na
974,1119,2136872,manmade,old,hit,na
975,2119,2138677.5,natural,old,hit,na
976,1119,2140003.5,manmade,old,hit,na
977,1041,2141421.5,manmade,new,correctreject,subsequent_remembered
978,1039,2143439,manmade,new,falsealarm,na
979,1041,2145374,manmade,new,correctreject,subsequent_remembered
980,1119,2148688,manmade,old,hit,na
981,1049,2149956,manmade,new,correctreject,na
982,2111,2151328,natural,old,hit,subsequent_remembered
983,1041,2153365.5,manmade,new,correctreject,subsequent_remembered
984,2119,2155300.5,natural,old,hit,na
985,2111,2156867,natural,old,hit,subsequent_remembered
986,2049,2158490,natural,new,correctreject,na
987,2041,2159872.5,natural,new,correctreject,subsequent_remembered
988,2111,2161766.5,natural,old,hit,subsequent_remembered
989,2049,2163671,natural,new,correctreject,na
990,1041,2165104.5,manmade,new,correctreject,subsequent_remembered
991,1049,2167004.5,manmade,new,correctreject,na
992,1119,2168468,manmade,old,hit,na
993,1119,2170359.5,manmade,old,hit,na
994,2041,2171857,natural,new,correctreject,subsequent_remembered
995,1111,2173096,manmade,old,hit,subsequent_remembered
996,1119,2174480.5,manmade,old,hit,na
997,2049,2176004,natural,new,correctreject,na
998,2041,2177872.5,natural,new,correctreject,subsequent_remembered
999,1129,2179306,manmade,old,miss,na
1000,2111,2180683,natural,old,hit,subsequent_remembered
1001,2119,2183391.5,natural,old,hit,na
1002,1111,2185546.5,manmade,old,hit,subsequent_remembered
1003,2049,2186821.5,natural,new,correctreject,na
1004,1111,2188275.5,manmade,old,hit,subsequent_remembered
1005,1119,2190262,manmade,old,hit,na
1006,2119,2192130.5,natural,old,hit,na
1007,1111,2193333.5,manmade,old,hit,subsequent_remembered
1008,2111,2194920.5,natural,old,hit,subsequent_remembered
1009,2041,2196528,natural,new,correctreject,subsequent_remembered
1010,2049,2197864.5,natural,new,correctreject,na
1011,2111,2199487,natural,old,hit,subsequent_remembered
1012,2111,2200895,natural,old,hit,subsequent_remembered
1013,1041,2202482,manmade,new,correctreject,subsequent_remembered
1014,1111,2204002.5,manmade,old,hit,subsequent_remembered
1015,2049,2205917.5,natural,new,correctreject,na
1016,2041,2207781,natural,new,correctreject,subsequent_remembered
1017,2039,2209257.5,natural,new,falsealarm,na
1018,2119,2210944.5,natural,old,hit,na
1019,1111,2212183.5,manmade,old,hit,subsequent_remembered
1020,2041,2213402,natural,new,correctreject,subsequent_remembered
1021,2049,2215255,natural,new,correctreject,na
1022,1111,2216970.5,manmade,old,hit,subsequent_remembered
1023,1041,2218718,manmade,new,correctreject,subsequent_remembered
1024,2119,2220666.5,natural,old,hit,na
1025,1049,2222527.5,manmade,new,correctreject,na
1026,2041,2224506,natural,new,correctreject,subsequent_remembered
1027,2119,2226909.5,natural,old,hit,na
1028,1119,2228125.5,manmade,old,hit,na
1029,1111,2230247.5,manmade,old,hit,subsequent_remembered
1030,1119,2231499.5,manmade,old,hit,na
1031,1119,2233081.5,manmade,old,hit,na
1032,2110,2234622.5,natural,old,hit,subsequent_forgotten
1033,2111,2236225,natural,old,hit,subsequent_remembered
1034,1049,2237858,manmade,new,correctreject,na
1035,2041,2239173.5,natural,new,correctreject,subsequent_remembered
1036,2111,2241354.5,natural,old,hit,subsequent_remembered
1037,1111,2242964.5,manmade,old,hit,subsequent_remembered
1038,1119,2244533.5,manmade,old,hit,na
1039,1049,2245854.5,manmade,new,correctreject,na
1040,2031,2247400.5,natural,new,falsealarm,subsequent_remembered
1041,1049,2249443.5,manmade,new,correctreject,na
1042,2111,2250851,natural,old,hit,subsequent_remembered
1043,1119,2252059.5,manmade,old,hit,na
1044,2031,2253810.5,natural,new,falsealarm,subsequent_remembered
1045,2049,2255387,natural,new,correctreject,na
1046,2041,2257171,natural,new,correctreject,subsequent_remembered
1047,1119,2258889,manmade,old,hit,na
1048,2119,2260414.5,natural,old,hit,na
1049,2049,2262109,natural,new,correctreject,na
1050,1111,2263609,manmade,old,hit,subsequent_remembered
1051,1041,2265139.5,manmade,new,correctreject,subsequent_remembered
1052,1039,2267475,manmade,new,falsealarm,na
1053,1041,2269266,manmade,new,correctreject,subsequent_remembered
1054,2049,2270684,natural,new,correctreject,na
1055,2041,2272317.5,natural,new,correctreject,subsequent_remembered
1056,2111,2275199.5,natural,old,hit,subsequent_remembered
1057,2119,2277375.5,natural,old,hit,na
1058,2111,2278857,natural,old,hit,subsequent_remembered
1059,2111,2280268,natural,old,hit,subsequent_remembered
1060,1039,2281819,manmade,new,falsealarm,na
1061,1111,2284686,manmade,old,hit,subsequent_remembered
1062,1119,2286560,manmade,old,hit,na
1063,1111,2287937,manmade,old,hit,subsequent_remembered
1064,2040,2289785,natural,new,correctreject,subsequent_forgotten
1065,2049,2290998.5,natural,new,correctreject,na
1066,2119,2292258,natural,old,hit,na
1067,1119,2294438.5,manmade,old,hit,na
1068,2041,2295964.5,natural,new,correctreject,subsequent_remembered
1069,2049,2297259.5,natural,new,correctreject,na
1070,2041,2298821,natural,new,correctreject,subsequent_remembered
1071,1049,2300625.5,manmade,new,correctreject,na
1072,2119,2302599,natural,old,hit,na
1073,2031,2304227.5,natural,new,falsealarm,subsequent_remembered
1074,2119,2305543,natural,old,hit,na
1075,2049,2307232.5,natural,new,correctreject,na
1076,2111,2309444,natural,old,hit,subsequent_remembered
1077,2041,2311422.5,natural,new,correctreject,subsequent_remembered
1078,2111,2312945.5,natural,old,hit,subsequent_remembered
1079,1119,2314801,manmade,old,hit,na
1080,2119,2316171,natural,old,hit,na
1081,2049,2317486.5,natural,new,correctreject,na
1082,2111,2318905,natural,old,hit,subsequent_remembered
1083,1041,2320594.5,manmade,new,correctreject,subsequent_remembered
1084,2111,2322048,natural,old,hit,subsequent_remembered
1085,1119,2323789,manmade,old,hit,na
1086,2039,2325028,natural,new,falsealarm,na
1087,2041,2326307.5,natural,new,correctreject,subsequent_remembered
1088,2119,2327528.5,natural,old,hit,na
1089,1049,2329722.5,manmade,new,correctreject,na
1090,1041,2331971.5,manmade,new,correctreject,subsequent_remembered
1091,2049,2333377.5,natural,new,correctreject,na
1092,2129,2334703.5,natural,old,miss,na
1093,2111,2336843.5,natural,old,hit,subsequent_remembered
1094,1041,2338589.5,manmade,new,correctreject,subsequent_remembered
1095,2049,2340325,natural,new,correctreject,na
1096,2119,2342214,natural,old,hit,na
1097,1041,2344047,manmade,new,correctreject,subsequent_remembered
1098,1049,2346381.5,manmade,new,correctreject,na
1099,1040,2347876,manmade,new,correctreject,subsequent_forgotten
1100,2119,2349483.5,natural,old,hit,na
1101,1049,2352325,manmade,new,correctreject,na
1102,2041,2354040,natural,new,correctreject,subsequent_remembered
1103,2049,2356077.5,natural,new,correctreject,na
1104,2041,2357716,natural,new,correctreject,subsequent_remembered
1105,1049,2359175,manmade,new,correctreject,na
1106,2119,2361069,natural,old,hit,na
1107,1111,2362333.5,manmade,old,hit,subsequent_remembered
1108,2119,2363936,natural,old,hit,na
1109,2041,2365277.5,natural,new,correctreject,subsequent_remembered
1110,1119,2367110,manmade,old,hit,na
1111,1111,2368953.5,manmade,old,hit,subsequent_remembered
1112,1049,2370422.5,manmade,new,correctreject,na
1113,1111,2372297,manmade,old,hit,subsequent_remembered
1114,1111,2373729.5,manmade,old,hit,subsequent_remembered
1115,2111,2374973.5,natural,old,hit,subsequent_remembered
1116,2041,2377083,natural,new,correctreject,subsequent_remembered
1117,2049,2378604,natural,new,correctreject,na
1118,1110,2379878,manmade,old,hit,subsequent_forgotten
